audit_rank,candidate_id,final_score,title,company,yoe,location,country,notice,hard_req_cov,production,honeypot_score,disqualifier_penalty,summary
1,CAND_0081846,1.0,Lead AI Engineer,Razorpay,6.7,"Jaipur, Rajasthan",India,30,0.684,0.87,1.0,1.0,"Senior AI engineer with 6.7 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro"
2,CAND_0018499,1.0,Senior Machine Learning Engineer,Zomato,7.2,"Noida, Uttar Pradesh",India,15,0.672,0.922,1.0,1.0,"Senior AI engineer with 7.2 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval "
3,CAND_0071974,1.0,Senior AI Engineer,Netflix,7.8,"Vizag, Andhra Pradesh",India,45,0.589,0.922,1.0,1.0,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking t"
4,CAND_0077337,0.9999,Staff Machine Learning Engineer,Paytm,7.0,"Kochi, Kerala",India,60,0.56,0.87,1.0,1.0,"Senior AI engineer with 7.0 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval "
5,CAND_0046525,0.9999,Senior Machine Learning Engineer,Genpact AI,6.1,"Pune, Maharashtra",India,60,0.597,0.87,1.0,1.0,"Senior AI engineer with 6.1 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval "
6,CAND_0008425,0.9999,Senior NLP Engineer,Ola,7.8,"Kolkata, West Bengal",India,90,0.628,0.953,1.0,1.0,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro"
7,CAND_0002025,0.9999,Senior AI Engineer,Apple,5.9,"Trivandrum, Kerala",India,30,0.561,0.87,1.0,1.0,"Senior AI engineer with 5.9 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval "
8,CAND_0086022,0.9999,Senior Applied Scientist,Sarvam AI,5.3,"Kolkata, West Bengal",India,0,0.658,0.87,1.0,1.0,"Senior AI engineer with 5.3 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking t"
9,CAND_0017960,0.9999,Recommendation Systems Engineer,Nykaa,7.7,"Bangalore, Karnataka",India,60,0.571,0.784,1.0,1.0,"Machine learning engineer with 7.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
10,CAND_0027691,0.9998,NLP Engineer,Haptik,6.5,"Pune, Maharashtra",India,15,0.63,0.64,1.0,1.0,"Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
11,CAND_0079387,0.9998,AI Engineer,Microsoft,6.9,"Trivandrum, Kerala",India,30,0.674,0.784,1.0,1.0,"Machine learning engineer with 6.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
12,CAND_0041669,0.9998,Recommendation Systems Engineer,CRED,8.0,"Noida, Uttar Pradesh",India,60,0.562,0.87,1.0,1.0,"Machine learning engineer with 8.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
13,CAND_0055905,0.9998,Senior Machine Learning Engineer,Flipkart,8.1,London,UK,30,0.649,0.922,1.0,1.0,"Senior AI engineer with 8.1 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I led the migration from keyword-based ranking t"
14,CAND_0011687,0.9998,Senior NLP Engineer,Niramai,7.8,"Indore, Madhya Pradesh",India,15,0.556,0.922,1.0,1.0,"Senior AI engineer with 7.8 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I owned the offline-online evaluation harness — "
15,CAND_0005649,0.9998,Senior Data Scientist,Sarvam AI,7.4,"Delhi, Delhi",India,90,0.639,0.784,1.0,1.0,"Machine learning engineer with 7.4 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
16,CAND_0050454,0.9998,AI Engineer,Rephrase.ai,6.8,"Delhi, Delhi",India,30,0.436,0.64,1.0,1.0,"Machine learning engineer with 6.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
17,CAND_0069905,0.9998,Applied ML Engineer,Sarvam AI,6.6,"Bhubaneswar, Odisha",India,90,0.661,0.64,1.0,1.0,"Machine learning engineer with 6.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
18,CAND_0046064,0.9998,Senior NLP Engineer,Salesforce,8.9,"Coimbatore, Tamil Nadu",India,30,0.631,0.922,1.0,1.0,"Senior AI engineer with 8.9 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I rebuilt the candidate-JD matching pipeline fro"
19,CAND_0064326,0.9998,Search Engineer,Sarvam AI,7.6,"Gurgaon, Haryana",India,45,0.571,0.784,1.0,1.0,"Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
20,CAND_0044222,0.9997,AI Engineer,PolicyBazaar,7.7,"Vizag, Andhra Pradesh",India,60,0.497,0.784,1.0,1.0,"Machine learning engineer with 7.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
21,CAND_0041610,0.9997,Recommendation Systems Engineer,Zoho,6.7,"Indore, Madhya Pradesh",India,30,0.553,0.64,1.0,1.0,"Machine learning engineer with 6.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
22,CAND_0062247,0.9997,AI Engineer,Google,7.3,"Kochi, Kerala",India,30,0.516,0.64,1.0,1.0,"Machine learning engineer with 7.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
23,CAND_0068811,0.9997,Applied ML Engineer,Freshworks,8.0,"Pune, Maharashtra",India,30,0.521,0.784,1.0,1.0,"Machine learning engineer with 8.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
24,CAND_0098846,0.9997,AI Engineer,upGrad,7.6,"Indore, Madhya Pradesh",India,45,0.542,0.64,1.0,1.0,"Machine learning engineer with 7.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
25,CAND_0010257,0.9996,Senior Data Scientist,Google,6.5,"Noida, Uttar Pradesh",India,120,0.511,0.87,1.0,1.0,"Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
26,CAND_0018722,0.9996,Recommendation Systems Engineer,Saarthi.ai,6.6,Toronto,Canada,90,0.594,0.64,1.0,1.0,"Machine learning engineer with 6.6 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
27,CAND_0083879,0.9996,Machine Learning Engineer,Ola,7.1,"Noida, Uttar Pradesh",India,30,0.45,0.784,1.0,1.0,"Machine learning engineer with 7.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
28,CAND_0052328,0.9996,Recommendation Systems Engineer,Amazon,6.5,"Pune, Maharashtra",India,30,0.574,0.64,1.0,1.0,"Machine learning engineer with 6.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
29,CAND_0070398,0.9996,Machine Learning Engineer,Genpact AI,7.2,"Kochi, Kerala",India,120,0.642,0.784,1.0,1.0,"Machine learning engineer with 7.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
30,CAND_0075249,0.9996,Applied ML Engineer,Zomato,6.2,"Ahmedabad, Gujarat",India,45,0.552,0.784,1.0,1.0,"Machine learning engineer with 6.2 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
31,CAND_0075574,0.9996,Machine Learning Engineer,Haptik,5.7,"Bangalore, Karnataka",India,60,0.567,0.784,1.0,1.0,"Machine learning engineer with 5.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
32,CAND_0088025,0.9996,Staff Machine Learning Engineer,Yellow.ai,8.6,"Jaipur, Rajasthan",India,90,0.542,0.784,1.0,1.0,"Senior AI engineer with 8.6 years of hands-on experience building production ML systems, with a focus on search, retrieval, and ranking. Most recently, I designed the company's first hybrid retrieval "
33,CAND_0050876,0.9996,Applied ML Engineer,Freshworks,6.0,"Kolkata, West Bengal",India,90,0.448,0.784,1.0,1.0,"Machine learning engineer with 6.0 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
34,CAND_0083307,0.9996,Search Engineer,CRED,7.8,"Vizag, Andhra Pradesh",India,120,0.651,0.784,1.0,1.0,"Machine learning engineer with 7.8 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
35,CAND_0093912,0.9996,Senior Data Scientist,Razorpay,5.3,"Chandigarh, Chandigarh",India,30,0.61,0.784,1.0,1.0,"Machine learning engineer with 5.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
36,CAND_0039383,0.9995,Applied ML Engineer,Meesho,7.1,"Gurgaon, Haryana",India,90,0.562,0.784,1.0,1.0,"Machine learning engineer with 7.1 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
37,CAND_0066376,0.9995,Applied ML Engineer,Dream11,5.7,"Mumbai, Maharashtra",India,90,0.611,0.784,1.0,1.0,"Machine learning engineer with 5.7 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
38,CAND_0007009,0.9995,Recommendation Systems Engineer,Wysa,7.9,"Noida, Uttar Pradesh",India,30,0.578,0.784,1.0,1.0,"Machine learning engineer with 7.9 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
39,CAND_0077285,0.9995,Recommendation Systems Engineer,Nykaa,5.5,"Ahmedabad, Gujarat",India,60,0.56,0.784,1.0,1.0,"Machine learning engineer with 5.5 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
40,CAND_0053591,0.9995,AI Engineer,Ola,5.3,Toronto,Canada,60,0.607,0.784,1.0,1.0,"Machine learning engineer with 5.3 years of experience building ML-powered features in production. Strong background in NLP, recommendation systems, and applied AI; comfortable across the ML stack fro"
